"Genes","sample1","sample2","sample3","sample4","sample5","sample6"
"gene1",5.32587474468471,5.4522218940757,4.7028922061583,4.43881634270309,4.43118265121224,5.23458920198991
"gene2",11.3597664993585,10.6630621775233,11.1225568152297,10.7445310727848,11.2691100190894,10.3922726015263
"gene3",5.01167001000263,4.42122355714551,4.94653966363601,5.99678610358113,4.10024716844981,4.45028327503541
"gene4",5.56340238781207,5.86383153399107,5.81806422995101,5.55538167504314,5.81423761858825,5.2824308757229
"gene5",5.66517268259454,5.04802771654463,5.07300124701288,5.76895504931359,5.22077811122621,5.37163506441576
"gene6",6.04991738006371,5.18845519286336,5.63317735331161,4.85056449749971,4.90228065005328,5.84813193273433
"gene7",6.53596510728771,6.53139979886797,6.89330382310017,6.84870326933352,6.26106959541548,6.05308142265534
"gene8",4.59316416751841,4.73831167771721,4.44986351802544,4.10024716844981,4.43118265121224,4.87551121262425
"gene9",5.5983583761338,4.87862292482805,4.94653966363601,5.76895504931359,4.67097293957813,4.70360888913602
"gene10",6.20520068672326,5.71636407315455,5.66610905086924,5.62059079198291,6.52090391578587,6.43819895727291
"gene11",5.56340238781207,5.81667333164424,5.63317735331161,5.28979482404741,6.59273256479377,5.6998736264533
"gene12",4.10024716844981,4.10024716844981,4.79447468986018,4.43881634270309,4.75786221213438,4.87551121262425
"gene13",5.23258167643919,4.42122355714551,5.01224871856627,5.19898588735986,4.75786221213438,4.10024716844981
"gene14",4.94600026707577,4.55324984533762,4.79447468986018,4.10024716844981,4.75786221213438,4.45028327503541
"gene15",6.70407495575434,6.68729425798013,6.78910904182148,6.44136251511681,7.35704087406588,5.45365206273783
"gene16",4.59316416751841,5.27129484647732,4.7028922061583,4.85056449749971,4.75786221213438,5.01331375533001
"gene17",4.79402818467933,5.34758742234998,6.18530546397221,5.48607473237776,5.98151528571819,5.76142373890929
"gene18",4.70250280101329,4.10024716844981,4.44986351802544,4.10024716844981,4.56724585119532,4.10024716844981
"gene19",4.59316416751841,6.132936926603,4.87459879468105,4.92038524055633,5.42110430885776,5.2824308757229
"gene20",5.84522726784714,6.55866050275498,6.16388192295885,6.42486938103416,6.73852746620972,6.43819895727291
"gene21",5.32587474468471,5.09739163160826,5.69812162179301,5.5884619124287,5.17520441081978,6.20854761580844
"gene22",6.18413540502604,6.32324086000391,6.02720464287647,6.42486938103416,6.60665147178479,6.48988988033169
"gene23",4.10024716844981,4.42122355714551,4.10024716844981,4.10024716844981,4.10024716844981,4.10024716844981
"gene24",4.94600026707577,5.95299385295872,6.07441672802565,6.50537244934322,5.86441881464531,6.22929915898494
"gene25",6.24633111650394,6.62449997142562,6.24752603217537,5.99678610358113,6.29648229922255,5.87569795988214
"gene26",4.94600026707577,5.14408424873293,4.87459879468105,5.87550808222801,5.67864738582646,4.70360888913602
"gene27",7.10106476225058,6.09510530291954,6.22711555464066,6.73479548184334,6.26106959541548,6.98109684838964
"gene28",4.10024716844981,4.10024716844981,4.10024716844981,4.10024716844981,4.10024716844981,4.70360888913602
"gene29",5.41116477337633,6.05611364862114,5.32663355450534,5.24547215477777,5.42110430885776,5.2824308757229
"gene30",6.14094317003044,4.87862292482805,5.12968573895946,5.04319051563302,5.64952584418671,5.84813193273433
"gene31",4.87410302603766,5.14408424873293,4.59348438416227,5.04319051563302,5.67864738582646,5.45365206273783
"gene32",4.10024716844981,4.10024716844981,4.10024716844981,4.10024716844981,4.10024716844981,4.10024716844981
"gene33",8.21502038229067,8.43593717724529,8.55318792510195,8.28700607149475,8.30874970452464,8.4301939881621
"gene34",7.1435761233846,7.68599590797415,8.30735272663511,7.55004644716745,7.16739993652288,7.68914027617071
"gene35",4.10024716844981,4.10024716844981,4.59348438416227,4.10024716844981,4.10024716844981,4.45028327503541
"gene36",5.23258167643919,5.14408424873293,5.37019484575638,5.04319051563302,4.43118265121224,5.13087752781509
"gene37",4.10024716844981,4.42122355714551,4.10024716844981,4.10024716844981,4.90228065005328,4.10024716844981
"gene38",4.79402818467933,5.18845519286336,4.44986351802544,5.15004098691059,4.10024716844981,4.10024716844981
"gene39",7.05722034906611,8.399887796955,7.63531876654851,7.06217770182383,8.58278467766097,7.66028112260261
"gene40",6.53596510728771,6.35504985100457,6.18530546397221,7.43500108120491,7.10126260037992,7.29673230466522
"gene41",5.56340238781207,5.74225247820318,5.52817303976816,4.77283296005008,5.22077811122621,5.60092273834884
"gene42",5.75863505047218,6.32324086000391,6.28741286153134,5.8497417521098,6.10888533961758,7.38793782244749
"gene43",6.18413540502604,5.54742477134576,4.59348438416227,6.32136152736378,5.52488911199451,5.37163506441576
"gene44",4.87410302603766,5.04802771654463,4.87459879468105,5.97346383666108,5.30582612480078,5.79103227428502
"gene45",4.94600026707577,5.3836581567291,4.7028922061583,4.92038524055633,5.45683408190569,4.45028327503541
"gene46",7.12248183853845,6.38611103972392,5.95287595047869,7.04118889761762,6.12892203497736,6.12203597565321
"gene47",4.10024716844981,4.99554361334161,5.2810808656067,4.77283296005008,5.0225417746757,4.94753236319904
"gene48",4.94600026707577,4.65393751518886,4.79447468986018,5.04319051563302,5.12723160856562,5.60092273834884
"gene49",5.18227282229358,5.76758228919985,5.18295104858385,5.48607473237776,5.86441881464531,4.94753236319904
"gene50",4.4496354516331,4.42122355714551,4.87459879468105,4.10024716844981,4.10024716844981,4.10024716844981
"gene51",4.10024716844981,4.42122355714551,4.10024716844981,4.10024716844981,4.56724585119532,4.10024716844981
"gene52",4.4496354516331,5.14408424873293,5.12968573895946,5.28979482404741,4.43118265121224,5.45365206273783
"gene53",5.48997655636694,5.6350358922475,5.49082358204147,5.52127929492692,4.83393301840937,5.41345169175551
"gene54",8.57080609455627,9.01427434185845,9.31995144244262,8.73630381545377,8.90038986141506,8.67593164034077
"gene55",5.28034727239675,5.34758742234998,5.23328847965518,6.01968068452878,6.18721886450646,6.05308142265534
"gene56",4.4496354516331,4.55324984533762,4.44986351802544,4.10024716844981,4.75786221213438,5.18419919396524
"gene57",5.36941221823717,5.18845519286336,4.87459879468105,5.19898588735986,5.17520441081978,4.5940737362892
"gene58",6.00182370381826,5.31017731147426,5.2810808656067,5.87550808222801,5.76186051520635,5.18419919396524
"gene59",4.94600026707577,5.57739879148773,5.41196996452495,5.55538167504314,5.81423761858825,5.37163506441576
"gene60",5.5983583761338,4.87862292482805,4.87459879468105,4.43881634270309,5.55738128169954,4.79529645272466
"gene61",4.70250280101329,4.93934620361995,5.66610905086924,4.10024716844981,4.96474875101438,5.01331375533001
"gene62",5.18227282229358,5.14408424873293,5.56428747981644,5.19898588735986,5.76186051520635,6.50668628627895
"gene63",5.69716949417598,4.99554361334161,6.18530546397221,5.74075802485253,5.49139939839411,4.5940737362892
"gene64",4.87410302603766,4.99554361334161,5.23328847965518,4.98418279953562,4.56724585119532,5.2824308757229
"gene65",4.70250280101329,5.04802771654463,4.7028922061583,5.04319051563302,5.78833742009742,5.45365206273783
"gene66",5.28034727239675,4.10024716844981,4.7028922061583,4.98418279953562,5.30582612480078,4.79529645272466
"gene67",4.59316416751841,4.55324984533762,4.10024716844981,4.43881634270309,4.10024716844981,4.10024716844981
"gene68",6.02610077156878,5.68988732985009,6.6008555832379,6.1892995514905,5.67864738582646,5.01331375533001
"gene69",4.59316416751841,4.55324984533762,4.79447468986018,4.92038524055633,6.06784051228437,5.32802995633826
"gene70",5.87275719874819,5.84048303945085,6.3821308198977,5.82341390412529,5.78833742009742,5.60092273834884
"gene71",4.79402818467933,5.74225247820318,5.45213091080039,5.52127929492692,5.22077811122621,4.5940737362892
"gene72",4.59316416751841,4.65393751518886,4.59348438416227,4.10024716844981,5.07649858737338,5.76142373890929
"gene73",4.59316416751841,4.10024716844981,4.7028922061583,4.77283296005008,4.83393301840937,4.94753236319904
"gene74",5.87275719874819,5.27129484647732,6.26762166475394,5.71186673172343,5.26424065460083,6.1442158678563
"gene75",6.32489555746142,6.67496483247948,7.61294443077268,6.74792843709729,6.08852869153651,6.40259167240682
"gene76",4.59316416751841,4.10024716844981,4.10024716844981,4.57797022422984,4.10024716844981,4.94753236319904
"gene77",6.7325295229135,6.2740365747476,5.95287595047869,5.76895504931359,6.7757308337846,6.30915041923844
"gene78",4.10024716844981,4.10024716844981,4.10024716844981,4.10024716844981,4.10024716844981,4.10024716844981
"gene79",4.70250280101329,5.14408424873293,5.01224871856627,5.24547215477777,4.90228065005328,4.70360888913602
"gene80",6.78772526923501,7.0135614533748,6.16388192295885,6.28497229461887,6.47589258663756,6.75043141105168
"gene81",7.13306870291172,6.30704354225202,7.2749751909344,7.17229964281893,6.27889574754151,6.69346478377238
"gene82",5.63225737832617,5.48489938568871,4.7028922061583,5.28979482404741,5.07649858737338,4.79529645272466
"gene83",7.81414648317126,7.00383838754666,6.646661639659,6.55145349526215,7.71187399557779,8.16456721088683
"gene84",5.81705461832242,5.48489938568871,6.09737817401498,6.08596524475998,5.55738128169954,5.73105333641353
"gene85",5.41116477337633,5.66278978515249,5.52817303976816,5.09826748770944,4.67097293957813,5.41345169175551
"gene86",7.1435761233846,5.81667333164424,6.07441672802565,6.1892995514905,5.70705067830234,6.99285126659838
"gene87",4.4496354516331,4.55324984533762,4.10024716844981,4.85056449749971,4.43118265121224,5.37163506441576
"gene88",4.4496354516331,5.18845519286336,5.07300124701288,4.68402194760346,5.12723160856562,5.45365206273783
"gene89",4.10024716844981,4.10024716844981,4.44986351802544,4.57797022422984,4.43118265121224,4.10024716844981
"gene90",4.10024716844981,4.10024716844981,4.10024716844981,5.44967688557306,4.10024716844981,4.45028327503541
"gene91",6.77413301033111,5.6350358922475,7.35836851279608,7.11330981325568,6.04680852858994,6.45565220288828
"gene92",4.4496354516331,4.42122355714551,5.07300124701288,4.57797022422984,5.26424065460083,4.79529645272466
"gene93",5.48997655636694,4.87862292482805,6.24752603217537,4.57797022422984,4.56724585119532,4.45028327503541
"gene94",5.36941221823717,4.93934620361995,5.41196996452495,5.5884619124287,5.34572794754682,5.2824308757229
"gene95",5.97706568749569,5.41850346352848,5.41196996452495,5.04319051563302,4.43118265121224,4.70360888913602
"gene96",5.5983583761338,4.81220689507293,4.94653966363601,5.09826748770944,5.52488911199451,5.2824308757229
"gene97",5.01167001000263,5.76758228919985,5.59926127667779,5.82341390412529,5.07649858737338,5.07413227373695
"gene98",5.48997655636694,5.51661142794137,5.7596169599281,5.411981299616,5.0225417746757,5.45365206273783
"gene99",5.01167001000263,4.65393751518886,4.44986351802544,4.98418279953562,5.07649858737338,4.5940737362892
"gene100",5.23258167643919,4.99554361334161,5.07300124701288,5.04319051563302,4.75786221213438,4.70360888913602
